trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2020-06-24,🟡 REBAL,通信ETF,515880.SH,通信光模块,6.0,11.99,5.99,RISK-ON,OFF
2020-06-24,🟢 BUY,AI_ETF,515980.SH,AI数字,0.0,5.99,5.99,RISK-ON,OFF
2020-07-03,🟢 BUY,创新药ETF,159992.SZ,医疗,0.0,11.99,11.99,RISK-ON,OFF
2020-07-03,🟡 REBAL,医药ETF,512010.SH,医疗,11.99,6.0,-5.99,RISK-ON,OFF
2020-07-03,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,6.0,6.0,RISK-ON,OFF
2020-07-03,🔴 SELL,半导体ETF,512480.SH,半导体芯片,5.99,0.0,-5.99,RISK-ON,OFF
2020-07-03,🟢 BUY,酒ETF,512690.SH,大消费,0.0,11.99,11.99,RISK-ON,OFF
2020-07-03,🟢 BUY,证券ETF,512880.SH,大金融,0.0,6.0,6.0,RISK-ON,OFF
2020-07-03,🔴 SELL,新能源车ETF,515030.SH,新能源,11.99,0.0,-11.99,RISK-ON,OFF
2020-07-03,🟢 BUY,煤炭ETF,515220.SH,周期资源,0.0,6.0,6.0,RISK-ON,OFF
2020-07-03,🔴 SELL,通信ETF,515880.SH,通信光模块,11.99,0.0,-11.99,RISK-ON,OFF
2020-07-03,🔴 SELL,AI_ETF,515980.SH,AI数字,5.99,0.0,-5.99,RISK-ON,OFF
2020-07-10,🟡 REBAL,创新药ETF,159992.SZ,医疗,11.99,5.66,-6.34,RISK-ON,OFF
2020-07-10,🔴 SELL,医药ETF,512010.SH,医疗,6.0,0.0,-6.0,RISK-ON,OFF
2020-07-10,🔴 SELL,房地产ETF,512200.SH,地产链,6.0,0.0,-6.0,RISK-ON,OFF
2020-07-10,🟢 BUY,半导体ETF,512480.SH,半导体芯片,0.0,11.31,11.31,RISK-ON,OFF
2020-07-10,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,5.66,5.66,RISK-ON,OFF
2020-07-10,🟡 REBAL,酒ETF,512690.SH,大消费,11.99,11.31,-0.68,RISK-ON,OFF
2020-07-10,🟡 REBAL,证券ETF,512880.SH,大金融,6.0,5.66,-0.34,RISK-ON,OFF
2020-07-10,🟡 REBAL,煤炭ETF,515220.SH,周期资源,6.0,5.66,-0.34,RISK-ON,OFF
2020-07-17,🟡 REBAL,创新药ETF,159992.SZ,医疗,5.66,5.31,-0.35,RISK-ON,OFF
