trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2021-06-24,RISK-ON,OFF,0.5381,4,26.91,12.51,半导体芯片,6.73,-0.0124,1.24,1.8439
2021-06-25,RISK-ON,OFF,0.5899,6,58.99,29.49,新能源,14.75,0.4527,0.63,1.8523
2021-07-02,RISK-ON,OFF,0.6108,6,61.08,15.79,新能源,22.91,-0.964,1.47,1.8344
2021-07-09,RISK-ON,OFF,0.7158,6,71.58,33.17,新能源,26.84,3.3296,0.79,1.8955
2021-07-16,RISK-ON,OFF,0.7579,6,75.79,27.9,新能源,28.42,0.7345,1.66,1.9094
2021-07-23,RISK-ON,OFF,0.7028,6,70.28,11.54,周期资源,26.35,4.8168,1.39,2.0014
2021-07-30,RISK-ON,OFF,0.7193,6,71.93,9.61,周期资源,35.96,0.8117,0.58,2.0176
2021-08-06,RISK-ON,OFF,0.7674,6,76.74,37.77,周期资源,28.78,0.9607,0.48,2.037
2021-08-13,RISK-ON,OFF,0.7689,5,76.89,9.67,周期资源,28.83,1.173,1.89,2.0609
2021-08-20,RISK-ON,OFF,0.7296,5,72.96,11.08,新能源,18.24,-1.9691,0.48,2.0203
2021-08-27,RISK-ON,OFF,0.6671,6,66.71,27.36,新能源,16.68,4.7784,0.55,2.1169
2021-09-03,RISK-ON,OFF,0.6663,5,66.63,25.01,周期资源,24.99,1.8267,1.37,2.1555
2021-09-10,RISK-ON,OFF,0.6316,6,63.16,9.63,周期资源,23.68,4.2976,1.25,2.2482
2021-09-17,RISK-ON,OFF,0.5928,6,59.28,16.76,周期资源,22.23,-2.1363,0.48,2.2001
2021-09-24,RISK-ON,OFF,0.5983,5,59.83,29.92,农业,14.96,-1.1059,0.84,2.1758
2021-09-30,RISK-ON,OFF,0.604,5,60.4,37.61,医疗,22.65,0.8917,1.5,2.1952
2021-10-08,RISK-ON,OFF,0.6079,5,60.79,15.29,农业,15.2,0.9173,1.88,2.2154
2021-10-15,RISK-ON,OFF,0.596,5,59.6,15.34,农业,14.9,-0.8608,0.76,2.1963
2021-10-22,RISK-ON,OFF,0.594,6,59.4,22.37,农业,14.85,0.0203,0.77,2.1967
2021-10-29,RISK-ON,OFF,0.5924,7,59.24,37.1,新能源,22.21,-0.0107,1.12,2.1965
2021-11-05,RISK-ON,OFF,0.5927,6,59.27,22.23,新能源,14.82,0.6711,1.86,2.2112
